 Site,Site code,DecdegS,DecdegE,Country,Province or district,RFZ,Biome,Stratigraphic context,Dating technique,Material dated, Species,Lab ID,Date,Uncertainty,Archaeological Period,Archaeological Sub-chronology,Sample context,Site Type,delta 13,refcode,Notes
Kruger Cave,KRU,-25.750,27.250,South Africa,North West Province,S,Savanna Biome,,conventional 14C,charcoal,,Pta-1272,10150,90,LSA,Robberg,,rock shelter,,wadley1993pls,
Kruger Cave,KRU,-25.750,27.250,South Africa,North West Province,S,Savanna Biome,,conventional 14C,,,Pta-1273,9100,90,LSA,,,rock shelter,,vogel1986prd,
Kruidfontein nr Prince Albert,KDF,-32.852,21.957,South Africa,Western Cape,Y,Nama-Karoo Biome,Human burialSAM 4188,conventional 14C,bone,Homo sapiens,Pta-1884,310,50,,,,Human burial,,morris1992scs,
Kudumatse,KDM,-23.41,27.14,Botswana,Central District,S,Savanna Biome,,AMS,,,Beta-296842,970,40,Iron Age,Early Iron Age,,settlement,,biemond2014sal,Toutswe facies
Kulubele,KLB,-32.43,27.83,South Africa,Eastern Cape,S,Grassland Biome,"pit 1, base",conventional 14C,charcoal,,Pta-5865,1250,40,Iron Age,Early Iron Age,,settlement,,binneman1996pri,
Kulubele,KLB,-32.43,27.83,South Africa,Eastern Cape,S,Grassland Biome,midden,conventional 14C,charcoal,,Pta-6982,1270,50,Iron Age,Early Iron Age,,settlement,,binneman1996pri,
KwaGandaganda,KWG,-29.679,30.836,South Africa,Kwazulu-Natal,S,Savanna Biome,Sq. 25,conventional 14C,charcoal,,Wits-1918,1395,60,Iron Age,Early Iron Age ,,settlement,,whitelaw1994ksp,Msuluzi facies
KwaGandaganda,KWG,-29.679,30.836,South Africa,Kwazulu-Natal,S,Savanna Biome,Sq. 22,conventional 14C,charcoal,,Wits-1919,1245,60,Iron Age,Early Iron Age ,,settlement,,whitelaw1994ksp,Ndondonwane facies
KwaGandaganda,KWG,-29.679,30.836,South Africa,Kwazulu-Natal,S,Savanna Biome,Sq. 14,conventional 14C,charcoal,,Wits-1920,1080,60,Iron Age,Early Iron Age ,,settlement,,whitelaw1994ksp,Ntshekane facies
KwaGandaganda,KWG,-29.679,30.836,South Africa,Kwazulu-Natal,S,Savanna Biome,Sq. 22,conventional 14C,charcoal,,Wits-1937,1260,60,Iron Age,Early Iron Age ,,settlement,,whitelaw1994ksp,Ndondonwane facies
KwaGandaganda,KWG,-29.679,30.836,South Africa,Kwazulu-Natal,S,Savanna Biome,Sq. 25,conventional 14C,charcoal,,Wits-1938,1315,60,Iron Age,Early Iron Age ,,settlement,,whitelaw1994ksp,Msuluzi facies
Kwali Camp,KWC,-21.03,31.87,Zimbabwe,Masvingo Province,S,,,AMS,charcoal,,Beta-200556,1240,70,Iron Age,Early Iron Age,smelting,settlement,,swan2007emi,Gokomere facies
Kwali Camp,KWC,-21.03,31.87,Zimbabwe,Masvingo Province,S,,,AMS,charcoal,,Beta-200557,1320,40,Iron Age,Early Iron Age,smelting,settlement,,swan2007emi,Gokomere facies
Kwali Camp,KWC,-21.03,31.87,Zimbabwe,Masvingo Province,S,,,AMS,charcoal,,Beta-200558,1490,60,Iron Age,Early Iron Age,smelting,settlement,,swan2007emi,Gokomere facies
KwaThwaleyakhe,KWT,-28.914,30.444,South Africa,Kwazulu-Natal,S,Savanna Biome,"BS1, Layer 4",conventional 14C,charcoal,,Pta-5349,2640,60,LSA,,,rock shelter,,mazel1993kse,
KwaThwaleyakhe,KWT,-28.914,30.444,South Africa,Kwazulu-Natal,S,Savanna Biome,"TBS 1, layer 2",conventional 14C,charcoal,,Pta-5350,1290,50,LSA,,,rock shelter,,mazel1993kse,
KwaThwaleyakhe,KWT,-28.914,30.444,South Africa,Kwazulu-Natal,S,Savanna Biome,Layer 8,conventional 14C,charcoal,,Pta-5351,3810,60,LSA,,,rock shelter,,mazel1993kse,
KwaThwaleyakhe,KWT,-28.914,30.444,South Africa,Kwazulu-Natal,S,Savanna Biome,Layer 6,conventional 14C,charcoal,,Pta-5360,3200,60,LSA,,,rock shelter,,mazel1993kse,
KwaThwaleyakhe,KWT,-28.914,30.444,South Africa,Kwazulu-Natal,S,Savanna Biome,"TBS 1, Layer 2",conventional 14C,plant remains,Acacia sp. Seeds,Pta-5577,Modern,-,,,,rock shelter,,mazel1993kse,
Lambert's Bay Dump,LBD,-32.109,18.304,South Africa,Western Cape,W,Fynbos Biome,Base ofSingle lens,conventional 14C,marine shell,,Pta-3201,2770,60,LSA,,,shell midden,1.9,jerardino2010lsm,
Lame Sheep Shelter,LSS,-31.450,24.650,South Africa,Northern Cape,S,Nama-Karoo Biome,,conventional 14C,charcoal,,LSS-1,1130,50,LSA,Ceramic LSA,,rock shelter,,plug1993mra; bollong1996lsc,Phase 1
Lame Sheep Shelter,LSS,-31.45,24.65,South Africa,Northern Cape,S,Nama-Karoo Biome,,conventional 14C,charcoal,,Pta-6302,1350,50,LSA,Ceramic LSA,,rock shelter,,sampson1995rcl,
Langdam 9,LGD9,-32.417,18.333,South Africa,Western Cape,W,Fynbos Biome,Lens on dune,conventional 14C,marine shell,,Pta-6274,2150,20,LSA,,,shell midden,-0.6,jerardino1996csl,
Langklip 2001/003 (Rooiwal Midden),LK003,-30.451,17.349,South Africa,Northern Cape,W,Succulent Karoo Biome,G7a,conventional 14C,marine shell,,Pta-8910,1110,50,LSA,,,shell midden,-0.1,orton2005smn,
Langklip 2001/004 (Rooiwal Hollow),LK004,-30.451,17.348,South Africa,Northern Cape,W,Succulent Karoo Biome,Area D R35,conventional 14C,marine shell,,Pta-8909,2360,60,LSA,,,shell midden,0.5,orton2005smn,
Langklip 2001/004 (Rooiwal Hollow),LK004,-30.451,17.348,South Africa,Northern Cape,W,Succulent Karoo Biome,Area A H14,conventional 14C,marine shell,,Pta-8915,2505,20,LSA,,,shell midden,-0.3,orton2005smn,
Langklip 2001/013,LK013,-30.378,17.308,South Africa,Northern Cape,W,Succulent Karoo Biome,"Square unknown, top",conventional 14C,marine shell,,Pta-9312,2870,60,LSA,,,shell midden,0.9,dewar2008acd,
Langklip 2001/013,LK013,-30.378,17.308,South Africa,Northern Cape,W,Succulent Karoo Biome,"Square unknown, top",conventional 14C,marine shell,,Pta-9326,2180,50,LSA,,,shell midden,1.5,dewar2008acd,
Langklip 2001/013,LK013,-30.378,17.308,South Africa,Northern Cape,W,Succulent Karoo Biome,"Square unknown, top",AMS,bone,Chersina angulata,UBA-9941,1524,22,LSA,,,shell midden,-20.4,dewar2012hmr,
Langklip 2001/015,LK015,-30.361,17.293,South Africa,Northern Cape,W,Succulent Karoo Biome,Patch Ci J29 Lower,AMS,bone,Raphicerus sp.,OxA-24557,394,24,LSA,,,shell midden,-18.1,orton2012han,
Langklip 2001/015,LK015,-30.361,17.293,South Africa,Northern Cape,W,Succulent Karoo Biome,Patch Cii N32 Hearth/Ash,AMS,bone,Chersina angulata,OxA-24558,420,24,LSA,,,shell midden,-18.8,orton2012han,
Langklip 2001/015,LK015,-30.361,17.293,South Africa,Northern Cape,W,Succulent Karoo Biome,Patch I J6 Lower,AMS,bone,Raphicerus sp.,OxA-24559,403,24,LSA,,,shell midden,-14.3,orton2012han,
Langklip 2001/015,LK015,-30.361,17.293,South Africa,Northern Cape,W,Succulent Karoo Biome,Patch D ZA35,AMS,bone,Chersina angulata,OxA-24560,401,22,LSA,,,shell midden,-19.7,orton2012han,
Langklip 2001/015,LK015,-30.361,17.293,South Africa,Northern Cape,W,Succulent Karoo Biome,Patch D ZA35,AMS,bone,Chersina angulata,OxA-24561,442,24,LSA,,,shell midden,-19.8,orton2012han,
Langklip 2001/015,LK015,-30.361,17.293,South Africa,Northern Cape,W,Succulent Karoo Biome,Patch f ZE32,AMS,bone,Chersina angulata,OxA-24562,398,25,LSA,,,shell midden,-18.9,orton2012han,
Langklip 2004/011,LK011,-30.369,17.301,South Africa,Northern Cape,W,Succulent Karoo Biome,"Midden 1,Square unknown",AMS,marine shell,,GX-32057,1200,60,LSA,,,shell midden,-0.8,dewar2008acd,
Langklip 2004/011,LK011,-30.369,17.301,South Africa,Northern Cape,W,Succulent Karoo Biome,"Midden 3,Square unknown",AMS,marine shell,,GX-32059,1080,50,LSA,,,shell midden,0.0,dewar2008acd,
Langklip 2004/011,LK011,-30.369,17.301,South Africa,Northern Cape,W,Succulent Karoo Biome,P46 Midden 2,AMS,bone,Oryx gazella,UBA-9940,707,37,LSA,,,shell midden,-16.8,dewar2012hmr,
Langklip 2004/011B,LK011B,-30.370,17.300,South Africa,Northern Cape,W,Succulent Karoo Biome,R27b,AMS,charcoal,,OxA-22980,924,22,LSA,,,shell midden,-15.5,orton2012han,
Langubehla,LAN,-26.283,31.167,Swaziland,Hhohho District,S,Grassland Biome,54-65 cm,conventional 14C,charcoal,,Pta-3346,1620,50,Iron Age,,,rock shelter,,vogel1986prd,
Langubehla,LAN,-26.283,31.167,Swaziland,Hhohho District,S,Grassland Biome,70-75 cm,conventional 14C,charcoal,,Pta-3347,1950,50,LSA,,,rock shelter,,vogel1986prd,
Langubehla,LAN,-26.283,31.167,Swaziland,Hhohho District,S,Grassland Biome,159 – 164 cm below datum,conventional 14C,charcoal,,Pta-3348,42700,2600,MSA,,,rock shelter,,vogel1986prd,
Langubehla,LAN,-26.283,31.167,Swaziland,Hhohho District,S,Grassland Biome,186 – 192 cm below datum,conventional 14C,charcoal,,Pta-3349,31400,780,MSA,,,rock shelter,,vogel1986prd,
Lebalelo,LBL,-24.57,30.16,South Africa,Limpopo,S,Savanna Biome,Pit 2,conventional 14C,charcoal,,Pta-8772,1300,50,Iron Age,Early Iron Age ,,settlement,,huffman2011leb,Mzonjani facies
Leeufontein 122,LEF122,-30.983,22.050,South Africa,Northern Cape,S,Nama-Karoo Biome,Surface collection,AMS,plant remains,,Beta-230587,850,40,,,,,-17.4,sampson2010cdl,fibre temper
Leeufontein 192,LEF192,-30.983,22.050,South Africa,Northern Cape,S,Nama-Karoo Biome,,conventional 14C,plant remains,,Pta-6023,260,60,LSA,Ceramic LSA,,,,sampson1995rcl,Large Spatulate Stab and lift; fibre temper
Leeufontein 23,LEF 23,-30.983,22.050,South Africa,Northern Cape,S,Nama-Karoo Biome,,conventional 14C,plant remains,,Pta-6022,200,40,LSA,Ceramic LSA,,,,sampson1995rcl,Large Spatulate Stab and lift; fibre temper
Leeuklip Se Kop Cave,LKK,-29.867,18.500,South Africa,Northern Cape,Y,Succulent Karoo Biome,ExcavationSpit 1,conventional 14C,eggshell,Struthio camelus,Pta-4278,300,50,LSA,Ceramic LSA,,,,beaumont1989pcn,Doornfontein
Leholamogoa,LHM,-23.268,28.826,South Africa,Limpopo,S,Savanna Biome,Layer 5,conventional 14C,charcoal,,Beta-236644,2130,40,LSA,Final LSA,,rock shelter,-24.8,bradfield2009mpl,
Leholamogoa,LHM,-23.268,28.826,South Africa,Limpopo,S,Savanna Biome,Layer 5,conventional 14C,charcoal,,Beta-236645,2160,60,LSA,Final LSA,,rock shelter,-25.6,bradfield2009mpl,
Leholamogoa,LHM,-23.268,28.826,South Africa,Limpopo,S,Savanna Biome,Layer 2,conventional 14C,charcoal,,Beta-236646,210,40,LSA,Ceramic LSA,,rock shelter,-23.3,bradfield2009mpl,
Leholamogoa,LHM,-23.268,28.826,South Africa,Limpopo,S,Savanna Biome,Layer 2,conventional 14C,charcoal,,Beta-236647,290,40,LSA,Ceramic LSA,,rock shelter,-24.1,bradfield2009mpl,
Leliehoek,LIH,-29.117,27.250,South Africa,Free State,S,Grassland Biome,Ln,conventional 14C,eggshell,Struthio camelus,Wits-2009 ,4860,100,LSA,Wilton,,rock shelter,,esterhuysen1994lsh,
Leliehoek,LIH,-29.117,27.250,South Africa,Free State,S,Grassland Biome,Sm,conventional 14C,eggshell,Struthio camelus,Wits-2010,5210,100,LSA,Wilton,,rock shelter,,esterhuysen1994lsh,
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,GrA-9011,890,40,Iron Age,,,settlement,,vogel2000rds,K2 Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7443,1000,60,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7444,940,60,Iron Age,,,settlement,,vogel2000rds,K2 Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7445,60,40,Iron Age,,,settlement,,vogel2000rds,
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7448,120,45,Iron Age,,,settlement,,vogel2000rds,
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7449,980,50,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Pta-7517,940,50,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,wood,,Pta-7563,880,25,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,wood,,Pta-7578,890,20,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,wood,,Pta-7665,950,50,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leokwe Hill,LKW,-22.218,29.364,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,wood,,Pta-7669,910,40,Iron Age,,,settlement,,vogel2000rds,Zhizo Phase
Leopard Cave,LEO,-21.573,15.555,Namibia,Erongo Region,W,Desert Biome,Layer 6,AMS,charcoal,,Beta-236963,2430,50,LSA,,,rock shelter,,pleurdeau2012sed,
Leopard Cave,LEO,-21.573,15.555,Namibia,Erongo Region,W,Desert Biome,Layer 7,AMS,charcoal,,Beta-236964,3250,40,LSA,,,rock shelter,,pleurdeau2012sed,
Leopard Cave,LEO,-21.573,15.555,Namibia,Erongo Region,W,Desert Biome,test pit,AMS,charcoal,,Beta-236966,3180,40,LSA,,,rock shelter,,pleurdeau2012sed,
Leopard Cave,LEO,-21.573,15.555,Namibia,Erongo Region,W,Desert Biome,Layer 5,AMS,tooth,Caprini,Beta-270163,2190,40,LSA,,,rock shelter,,pleurdeau2012sed,
Leopard Cave,LEO,-21.573,15.555,Namibia,Erongo Region,W,Desert Biome,Layer 6,AMS,tooth,Caprini,Beta-270164,2270,40,LSA,,,rock shelter,,pleurdeau2012sed,
Leopard's Kopje Main Kraal,LPK,-20.12,28.43,Zimbabwe,Bulawayo Province,S,,,conventional 14C,,,I-4862,1130,95,Iron Age,Early Iron Age ,,settlement,,huffman2007h,Zhizo facies
Leopard's Kopje Main Kraal,LPK,-20.12,28.43,Zimbabwe,Bulawayo Province,S,,,conventional 14C,,,SR-225,1280,90,Iron Age,Early Iron Age ,,settlement,,huffman2007h,Zhizo facies
Leopard's Kopje Main Kraal,LPK,-20.12,28.43,Zimbabwe,Bulawayo Province,S,,,conventional 14C,,,SR-55,1250,110,Iron Age,Early Iron Age ,,settlement,,huffman2007h,Zhizo facies
Leopards Vlei 27,LPV,-30.367,25.000,South Africa,Northern Cape,S,Grassland Biome,,conventional 14C,plant remains,,Pta-5362,200,45,LSA,Ceramic LSA,,,,sampson1995rcl,Double punctate; fibre temper
Letsibogo 106,LTB106,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80095,1360,50,Iron Age,Early Iron Age ,,settlement,,campbell1996asl,Zhizo facies
Letsibogo 109,LTB109,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80984,1220,60,Iron Age,Early Iron Age ,,settlement,,campbell1996asl,Zhizo facies
Letsibogo 110,LTB110,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80985,370,90,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Letsibogo facies
Letsibogo 119,LTB119,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80096,110,60,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Moloko facies
Letsibogo 125,LTB125,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80986,710,60,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Pre-Khami
Letsibogo 127,LTB127,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-81224,360,70,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Letsibogo facies
Letsibogo 19,LTB19,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-29951,1100,50,Iron Age,Early Iron Age ,,settlement,,campbell1996asl,Zhizo facies
Letsibogo 2,LTB2,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80092,360,70,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Letsibogo facies
Letsibogo 26,LTB26,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-81225,280,70,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Letsibogo facies
Letsibogo 30A,LTB30A,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-81196,1220,50,Iron Age,Early Iron Age ,,settlement,,campbell1996asl,Zhizo facies
Letsibogo 32,LTB32,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-81228,1820,60,LSA,,,rock shelter,,campbell1996asl,
Letsibogo 38,LTB38,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80980,100,50,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Khami facies
Letsibogo 4,LTB4,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80979,480,60,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Letsibogo facies
Letsibogo 79A,LTB79A,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80094,400,70,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Moloko facies
Letsibogo 79B,LTB79B,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80982,450,50,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Khami facies
Letsibogo 86,LTB86,-21.84,27.71,Botswana,Central District,S,,,AMS,,,Beta-80983,550,70,Iron Age,Later Iron Age,,settlement,,campbell1996asl,Khami facies
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,,AMS,lipids,,BRAMS-2613,1481,27,Iron Age,Early Iron Age,,open site,,fewlass2020ced,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase B, Layer XV",conventional 14C,charcoal,,GrA-23232,3355,45,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase B, Layer XIII",conventional 14C,bone,,GrA-23233,2810,45,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase B, Layer XIII",conventional 14C,bone,,GrA-23236,2555,45,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase D, Layer I",conventional 14C,bone,Ovis aries,GrA-23237,1285,40,LSA,Ceramic LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase B, Layer XIII",conventional 14C,charcoal,,GrA-23239,2860,45,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase A, Layer XVII",conventional 14C,charcoal,,GrA-23535,3110,50,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase A, Layer XVII",conventional 14C,bone,Taurotragus oryx,GrA-26178,2875,35,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase D, Layer I",conventional 14C,iron,,GrA-26831,1290,30,LSA,Ceramic LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer V",conventional 14C,charcoal,,Pta-7092,1850,40,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase B, Layer XIII",conventional 14C,charcoal,,Pta-7093,2650,60,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer III",conventional 14C,charcoal,,Pta-7097,1850,15,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer VII/IX",conventional 14C,charcoal,,Pta-7098,2060,45,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase B, Layer XI",conventional 14C,charcoal,,Pta-7101,2390,60,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer III",conventional 14C,charcoal,,Pta-7865,1830,15,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer V",conventional 14C,charcoal,,Pta-7870,2100,80,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer VII/IX",conventional 14C,charcoal,,Pta-7876,2020,60,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase D, Layer I",conventional 14C,charcoal,,Pta-7877,1310,80,LSA,Ceramic LSA,,open site,,mitchell2011brh,
Likoaeng,LIK,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,"Phase C, Layer V",conventional 14C,charcoal,,Pta-9048,2000,70,LSA,Final LSA,,open site,,mitchell2011brh,
Likoaeng North,LKN,-29.736,28.763,Lesotho,Thaba-Tseka,S,Grassland Biome,Unit 3,conventional 14C,bone,Taurotragus oryx,Pta-9067,2640,70,LSA,,,rock shelter,,mitchell2018u,
Limerock 1,LMR1,-28.550,24.002,South Africa,Northern Cape,S,Savanna Biome,Level III,conventional 14C,,,Pta-1621,1620,50,,,,rock shelter,,humphreys1983ggl,
Limerock 2,LMR2,-28.550,24.002,South Africa,Northern Cape,S,Savanna Biome,Level V,conventional 14C,,,Pta-1759,1430,50,,,,rock shelter,,humphreys1983ggl,
Limerock 2,LMR2,-28.550,24.002,South Africa,Northern Cape,S,Savanna Biome,Level IV,conventional 14C,,,Pta-2095,1720,40,,,,rock shelter,,humphreys1983ggl,
Lion Cavern,LCA,-26.200,31.033,Swaziland,Hhohho District,S,Grassland Biome,244-290 cm,conventional 14C,charcoal,,GrN-5020,28130,260,MSA,,,rock shelter,,vogel1970grd,
Lion Cavern,LCA,-26.200,31.033,Swaziland,Hhohho District,S,Grassland Biome,335-410 cm,conventional 14C,charcoal,,GrN-5313,43200,+ 1350/-1200,MSA,,,rock shelter,,vogel1970grd,
Lion Cavern,LCA,-26.200,31.033,Swaziland,Hhohho District,S,Grassland Biome,213-244 cm,conventional 14C,charcoal,,Y-1713,9640,80,LSA,,,rock shelter,,stuiver1969nrm,
Lion Cavern,LCA,-26.200,31.033,Swaziland,Hhohho District,S,Grassland Biome,,conventional 14C,charcoal,,Y-1827,22280,400,MSA,,,rock shelter,,beaumont1972crf,
Liphofung,LIP,-28.753,28.496,Lesotho,Butha-Buthe District,S,Grassland Biome,§,conventional 14C,bone,,Pta-6106,2700,60,LSA,,,rock shelter,,kaplan2012alh,stratigraphy disturbed at site
Liphofung,LIP,-28.753,28.496,Lesotho,Butha-Buthe District,S,Grassland Biome,Layer 4,conventional 14C,bone,,Pta-6109,4390,70,LSA,,,rock shelter,,kaplan2012alh,stratigraphy disturbed at site
Liphofung,LIP,-28.753,28.496,Lesotho,Butha-Buthe District,S,Grassland Biome,Layer 5,conventional 14C,bone,,Pta-6113,7230,140,LSA,,,rock shelter,,kaplan2012alh,stratigraphy disturbed at site
Lithakong,LIT,-29.457,28.101,Lesotho,Butha-Buthe District,S,Grassland Biome,Layer 2,conventional 14C,charcoal,,Pta-7072,510,40,LSA,,,rock shelter,,kaplan2012alh,
Lithakong,LIT,-29.457,28.101,Lesotho,Butha-Buthe District,S,Grassland Biome,Layer 3,conventional 14C,charcoal,,Pta-7075,4790,50,LSA,,,rock shelter,,kaplan2012alh,
Lithakong,LIT,-29.457,28.101,Lesotho,Butha-Buthe District,S,Grassland Biome,Layer 1,conventional 14C,charcoal,,Pta-7077,890,35,LSA,,,rock shelter,,kaplan2012alh,
Little Witkrans,LWK,-27.661,24.613,South Africa,North West Province,S,Savanna Biome,5-10 cm,conventional 14C,charcoal,,Pta-2447,1490,40,LSA,,,rock shelter,-24.6,humphreys1983ggl,
Little Witkrans,LWK,-27.661,24.613,South Africa,North West Province,S,Savanna Biome,35-40 cm,conventional 14C,charcoal,,Pta-2448,4710,65,LSA,,,rock shelter,-23.8,humphreys1983ggl,
Little Witkrans,LWK,-27.661,24.613,South Africa,North West Province,S,Savanna Biome,55-60 cm,conventional 14C,charcoal,,Pta-2490,7470,70,LSA,,,rock shelter,-5.2,humphreys1983ggl,
Little Witkrans,LWK,-27.661,24.613,South Africa,North West Province,S,Savanna Biome,20-25 cm,conventional 14C,charcoal,,Pta-3418,1830,50,LSA,,,rock shelter,-24.4,vogel1986prd,
Lolwe Mine (Phalaborwa),LWM,-23.959,31.091,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,GrN-4215,160,30,Iron Age,Early Iron Age ,,mine,,vogel1967grd,
Lolwe Mine (Phalaborwa),LWM,-23.959,31.091,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Y-1635,950,60,Iron Age,Early Iron Age ,,mine,,vandermerwe1971psa,
Lolwe Mine (Phalaborwa),LWM,-23.959,31.091,South Africa,Limpopo,S,Savanna Biome,,conventional 14C,charcoal,,Y-1636,1180,80,Iron Age,Early Iron Age ,,mine,,vandermerwe1971psa,
Lose Hill,LOS,-22.949,26.909,Botswana,Central District,S,Savanna Biome,,conventional 14C,,,Beta-24514,920,70,Iron Age,,,,,kiyagamulindwa1990eec,Mapungubwe Palace; Toutswe Phase
Lose Hill,LOS,-22.949,26.909,Botswana,Central District,S,Savanna Biome,,conventional 14C,,,Beta-24515,690,60,Iron Age,,,settlement,,huffman2009mgz,Mapungubwe Palace; Toutswe Phase
Lose Hill,LOS,-22.949,26.909,Botswana,Central District,S,Savanna Biome,,conventional 14C,,,Beta-24516,730,50,Iron Age,,,settlement,,huffman2009mgz,Mapungubwe Palace; Toutswe Phase
Lose Hill,LOS,-22.949,26.909,Botswana,Central District,S,Savanna Biome,,conventional 14C,,,Beta-24518,750,60,Iron Age,,,,,kiyagamulindwa1990eec,Mapungubwe Palace; Toutswe Phase
